Time[ms];pwmL[us];curL[mA];volL[mV];pwmR[us];curR[mA];volR[mV];strini[uint10]
4935;0;0;0;0;0;0;0
4988;0;0;0;0;0;0;0
5042;0;0;0;0;0;0;0
5096;0;0;0;0;0;0;0
5149;0;0;0;0;0;0;0
5203;0;0;0;0;0;0;0
5257;0;0;0;0;0;0;0
5311;0;0;0;0;0;0;0
5364;0;0;0;0;0;0;0
5417;0;0;0;0;0;0;0
5472;0;0;0;0;0;0;0
5525;0;0;0;0;0;0;0
5579;0;0;0;0;0;0;0
5633;0;0;0;0;0;0;0
5687;0;0;0;0;0;0;0
5740;0;0;0;0;0;0;0
5793;0;0;0;0;0;0;0
5848;0;0;0;0;0;0;0
5901;0;0;0;0;0;0;0
5955;0;0;0;0;0;0;0
6008;0;0;0;0;0;0;0
6063;0;0;0;0;0;0;0
6119;0;0;0;0;0;0;0
6172;0;0;0;0;0;0;0
6225;0;0;0;0;0;0;0
6280;0;0;0;0;0;0;0
6333;0;0;0;0;0;0;0
6387;0;0;0;0;0;0;0
6440;0;0;0;0;0;0;0
6495;0;0;0;0;0;0;0
6548;0;0;0;0;0;0;0
6601;0;0;0;0;0;0;0
6656;0;0;0;0;0;0;0
6709;0;0;0;0;0;0;0
6763;0;0;0;0;0;0;0
6816;0;0;0;0;0;0;0
6871;0;0;0;0;0;0;0
6924;0;0;0;0;0;0;0
6977;0;0;0;0;0;0;0
7031;0;0;0;0;0;0;0
7085;0;0;0;0;0;0;0
7139;0;0;0;0;0;0;0
7192;0;0;0;0;0;0;0
7246;0;0;0;0;0;0;0
7300;0;0;0;0;0;0;0
7353;0;0;0;0;0;0;0
7407;0;0;0;0;0;0;0
7460;0;0;0;0;0;0;0
7517;0;0;0;0;0;0;0
7571;0;0;0;0;0;0;0
7624;0;0;0;0;0;0;0
7678;0;0;0;0;0;0;0
7732;0;0;0;0;0;0;0
7786;0;0;0;0;0;0;0
7839;0;0;0;0;0;0;0
7892;0;0;0;0;0;0;0
7947;0;0;0;0;0;0;0
8000;0;0;0;0;0;0;0
8054;0;0;0;0;0;0;0
8108;0;0;0;0;0;0;0
8162;0;0;0;0;0;0;0
8215;0;0;0;0;0;0;0
8268;0;0;0;0;0;0;0
8323;0;0;0;0;0;0;0
8376;0;0;0;0;0;0;0
8430;0;0;0;0;0;0;0
8483;0;0;0;0;0;0;0
8538;0;0;0;0;0;0;0
8591;0;0;0;0;0;0;0
8644;0;0;0;0;0;0;0
8698;0;0;0;0;0;0;0
8752;0;0;0;0;0;0;0
8806;0;0;0;0;0;0;0
8862;0;0;0;0;0;0;0
8915;0;0;0;0;0;0;0
8970;0;0;0;0;0;0;0
9023;0;0;0;0;0;0;0
9076;0;0;0;0;0;0;0
9131;0;0;0;0;0;0;0
9184;0;0;0;0;0;0;0
9238;0;0;0;0;0;0;0
9291;0;0;0;0;0;0;0
9346;0;0;0;0;0;0;0
9399;0;0;0;0;0;0;0
9452;0;0;0;0;0;0;0
9506;0;0;0;0;0;0;0
9560;0;0;0;0;0;0;0
9614;0;0;0;0;0;0;0
9667;0;0;0;0;0;0;0
9721;0;0;0;0;0;0;0
9775;0;0;0;0;0;0;0
9828;0;0;0;0;0;0;0
9882;0;0;0;0;0;0;0
9935;0;0;0;0;0;0;0
9990;0;0;0;0;0;0;0
10043;0;0;0;0;0;0;0
10097;0;0;0;0;0;0;0
10150;0;0;0;0;0;0;0
10205;0;0;0;0;0;0;0
10261;0;0;0;0;0;0;0
10314;0;0;0;0;0;0;0
10376;0;0;0;0;0;0;0
10433;0;0;0;0;0;0;0
10487;0;0;0;0;0;0;0
10541;0;0;0;0;0;0;0
10595;0;0;0;0;0;0;0
10648;0;0;0;0;0;0;0
10702;0;0;0;0;0;0;0
10756;0;0;0;0;0;0;0
10810;0;0;0;0;0;0;0
10863;0;0;0;0;0;0;0
10917;0;0;0;0;0;0;0
10971;0;0;0;0;0;0;0
11025;0;0;0;0;0;0;0
11078;0;0;0;0;0;0;0
11132;0;0;0;0;0;0;0
11186;0;0;0;0;0;0;0
11240;0;0;0;0;0;0;0
11293;0;0;0;0;0;0;0
11347;0;0;0;0;0;0;0
11401;0;0;0;0;0;0;0
11455;0;0;0;0;0;0;0
11508;0;0;0;0;0;0;0
11565;0;0;0;0;0;0;0
11619;0;0;0;0;0;0;0
11672;0;0;0;0;0;0;0
11726;0;0;0;0;0;0;0
11780;0;0;0;0;0;0;0
11834;0;0;0;0;0;0;0
11887;0;0;0;0;0;0;0
11941;0;0;0;0;0;0;0
11995;0;0;0;0;0;0;0
12049;0;0;0;0;0;0;0
12102;0;0;0;0;0;0;0
12156;0;0;0;0;0;0;0
12210;0;0;0;0;0;0;0
12264;0;0;0;0;0;0;0
12317;0;0;0;0;0;0;0
12371;0;0;0;0;0;0;0
12425;0;0;0;0;0;0;0
12479;0;0;0;0;0;0;0
12532;0;0;0;0;0;0;0
12587;0;0;0;0;0;0;0
12640;0;0;0;0;0;0;0
12694;0;0;0;0;0;0;0
12747;0;0;0;0;0;0;0
12802;0;0;0;0;0;0;0
12855;0;0;0;0;0;0;0
12911;0;0;0;0;0;0;0
12965;0;0;0;0;0;0;0
13019;0;0;0;0;0;0;0
13073;0;0;0;0;0;0;0
13126;0;0;0;0;0;0;0
13180;0;0;0;0;0;0;0
13234;0;0;0;0;0;0;0
13288;0;0;0;0;0;0;0
13341;0;0;0;0;0;0;0
13395;0;0;0;0;0;0;0
13449;0;0;0;0;0;0;0
13503;0;0;0;0;0;0;0
13556;0;0;0;0;0;0;0
13611;0;0;0;0;0;0;0
13664;0;0;0;0;0;0;0
13718;0;0;0;0;0;0;0
13771;0;0;0;0;0;0;0
13826;0;0;0;0;0;0;0
13879;0;0;0;0;0;0;0
13933;0;0;0;0;0;0;0
13986;0;0;0;0;0;0;0
14041;0;0;0;0;0;0;0
14094;0;0;0;0;0;0;0
14148;0;0;0;0;0;0;0
14204;0;0;0;0;0;0;0
14258;0;0;0;0;0;0;0
14312;0;0;0;0;0;0;0
14365;0;0;0;0;0;0;0
14419;0;0;0;0;0;0;0
14473;0;0;0;0;0;0;0
14527;0;0;0;0;0;0;0
14580;0;0;0;0;0;0;0
14635;0;0;0;0;0;0;0
14688;0;0;0;0;0;0;0
14742;0;0;0;0;0;0;0
14795;0;0;0;0;0;0;0
14850;0;0;0;0;0;0;0
14903;0;0;0;0;0;0;0
14957;0;0;0;0;0;0;0
15010;0;0;0;0;0;0;0
15065;0;0;0;0;0;0;0
15118;0;0;0;0;0;0;0
15172;0;0;0;0;0;0;0
15225;0;0;0;0;0;0;0
15280;0;0;0;0;0;0;0
15333;0;0;0;0;0;0;0
15387;0;0;0;0;0;0;0
15440;0;0;0;0;0;0;0
15497;0;0;0;0;0;0;0
15551;0;0;0;0;0;0;0
15604;0;0;0;0;0;0;0
15659;0;0;0;0;0;0;0
15712;0;0;0;0;0;0;0
15766;0;0;0;0;0;0;0
15826;0;0;0;0;0;0;0
15884;0;0;0;0;0;0;0
15938;0;0;0;0;0;0;0
15991;0;0;0;0;0;0;0
16046;0;0;0;0;0;0;0
16099;0;0;0;0;0;0;0
16153;0;0;0;0;0;0;0
16206;0;0;0;0;0;0;0
16261;0;0;0;0;0;0;0
16314;0;0;0;0;0;0;0
16368;0;0;0;0;0;0;0
16421;0;0;0;0;0;0;0
16476;0;0;0;0;0;0;0
16529;0;0;0;0;0;0;0
16583;2380;0;0;0;2;152;6
16633;0;7;2016;0;11;3360;5
16687;0;13;4400;0;15;5144;6
16741;0;17;5728;0;18;6064;6
16797;0;19;6480;0;19;6656;6
16851;0;20;6856;0;20;6992;6
16906;0;20;7112;0;20;7176;6
16960;0;21;7232;0;21;7272;6
17014;0;21;7320;0;21;7336;6
17068;0;21;7360;0;21;7368;7
17122;0;21;7392;0;21;7384;6
17176;0;21;7400;0;21;7400;7
17230;0;21;7416;0;21;7400;6
17285;0;21;7416;0;21;7408;7
17339;0;21;7424;0;21;7408;6
17392;0;21;7424;0;21;7408;7
17446;0;21;7424;0;21;7408;7
17501;0;21;7424;0;21;7416;7
17555;0;21;7424;0;21;7416;7
17609;0;21;7424;0;21;7416;7
17662;0;21;7424;0;21;7416;7
17720;0;21;7424;0;21;7416;7
17774;0;21;7424;0;21;7416;7
17827;0;21;7424;0;21;7416;7
17882;0;21;7424;0;21;7416;6
17936;0;21;7424;0;21;7416;6
17990;0;21;7424;0;21;7416;6
18044;0;21;7424;0;21;7416;6
18098;0;21;7424;0;21;7416;6
18152;0;21;7424;0;21;7416;6
18206;0;21;7424;0;21;7416;6
18260;0;21;7424;0;21;7416;6
18315;0;21;7424;0;21;7416;6
18368;0;21;7424;0;21;7416;6
18422;0;21;7424;0;21;7416;6
18477;0;21;7424;0;21;7416;6
18531;0;21;7424;0;21;7416;6
18585;0;21;7424;0;21;7416;6
18639;0;21;7424;0;21;7416;6
18696;0;21;7424;0;21;7416;6
18750;0;21;7424;0;21;7416;6
18804;0;21;7424;0;21;7416;6
18857;0;21;7424;0;21;7416;6
18912;0;21;7424;0;21;7416;6
18966;0;21;7424;0;21;7416;6
19020;0;21;7424;0;21;7416;6
19075;0;21;7424;0;21;7416;6
19128;0;21;7424;0;21;7416;6
19182;0;21;7424;0;21;7416;6
19236;0;21;7424;0;21;7416;6
19291;0;21;7424;0;21;7416;6
19345;0;21;7424;0;21;7416;6
19398;0;21;7424;0;21;7416;6
19452;0;21;7424;0;21;7416;6
19507;0;21;7424;0;21;7416;6
19561;0;21;7424;0;21;7416;6
19615;0;21;7424;0;21;7416;6
19672;0;21;7424;0;21;7416;6
19726;0;21;7424;0;21;7416;6
19780;0;21;7424;0;21;7416;6
19833;0;21;7424;0;21;7416;6
19888;0;21;7424;0;21;7416;6
19942;0;21;7424;0;21;7416;6
19996;0;21;7424;0;21;7416;6
20050;0;21;7424;0;21;7416;6
20104;0;21;7424;0;21;7416;6
20158;0;21;7424;0;21;7416;6
20212;0;21;7424;0;21;7416;5
20267;0;21;7424;0;21;7416;6
20321;0;21;7424;0;21;7416;6
20375;0;21;7424;0;21;7416;6
20428;0;21;7424;0;21;7416;6
20483;0;21;7424;0;21;7416;6
20537;0;21;7424;0;21;7416;6
20593;0;21;7424;0;21;7416;6
20647;0;21;7424;0;21;7416;6
20702;0;21;7424;0;21;7416;6
20756;0;21;7424;0;21;7416;6
20810;0;21;7424;0;21;7416;6
20864;0;21;7424;0;21;7416;6
20918;0;21;7424;0;21;7416;6
20972;0;21;7424;0;21;7416;6
21026;0;21;7424;0;21;7416;6
21081;0;21;7424;0;21;7416;6
21134;0;21;7424;0;21;7416;6
21188;0;21;7424;0;21;7416;6
21242;0;21;7424;0;21;7416;6
21304;0;21;7424;0;21;7416;6
21362;0;21;7424;0;21;7416;6
21415;0;21;7424;0;21;7416;6
21470;0;21;7424;0;21;7416;6
21524;0;21;7424;0;21;7416;6
21580;0;21;7424;0;21;7416;6
21635;0;21;7424;0;21;7416;6
21689;0;21;7424;0;21;7416;6
21743;0;21;7424;0;21;7416;6
21797;0;21;7424;0;21;7416;6
21851;0;21;7424;0;21;7416;6
21905;0;21;7424;0;21;7416;6
21959;0;21;7424;0;21;7416;6
22013;0;21;7424;0;21;7416;6
22068;0;21;7424;0;21;7416;6
22121;0;21;7424;0;21;7416;6
22175;0;21;7424;0;21;7416;6
22230;0;21;7424;0;21;7416;6
22284;0;21;7424;0;21;7416;6
22338;0;21;7424;0;21;7416;6
22392;0;21;7424;0;21;7416;6
22446;0;21;7424;0;21;7416;6
22500;0;21;7424;0;21;7416;6
22557;0;21;7424;0;21;7416;6
22610;0;21;7424;0;21;7416;6
22665;0;21;7424;0;21;7416;6
22719;0;21;7424;0;21;7416;6
22773;0;21;7424;0;21;7416;6
22828;0;21;7424;0;21;7416;6
22881;0;21;7424;0;21;7416;6
22935;0;21;7424;0;21;7416;6
22989;0;21;7424;0;21;7416;6
23044;0;21;7424;0;21;7416;6
23098;0;21;7424;0;21;7416;6
23151;0;21;7424;0;21;7416;6
23205;0;21;7424;0;21;7416;6
23260;0;21;7424;0;21;7416;6
23314;0;21;7424;0;21;7416;6
23368;0;21;7424;0;21;7416;6
23422;0;21;7424;0;21;7416;6
23479;0;21;7424;0;21;7416;6
23533;0;21;7424;0;21;7416;6
23586;0;21;7424;0;21;7416;6
23641;0;21;7424;0;21;7416;6
23695;0;21;7424;0;21;7416;6
23749;0;21;7424;0;21;7416;6
23803;0;21;7424;0;21;7416;6
23857;0;21;7424;0;21;7416;6
23911;0;21;7424;0;21;7416;6
23965;0;21;7424;0;21;7416;6
24019;0;21;7424;0;21;7416;6
24074;0;21;7424;0;21;7416;6
24127;0;21;7424;0;21;7416;6
24181;0;21;7424;0;21;7416;6
24236;0;21;7424;0;21;7416;6
24290;0;21;7424;0;21;7416;6
24344;0;21;7424;0;21;7416;6
24398;0;21;7424;0;21;7416;6
24455;0;21;7424;0;21;7416;6
24508;0;21;7424;0;21;7416;6
24562;0;21;7424;0;21;7416;6
24616;0;21;7424;0;21;7416;6
24671;0;21;7424;0;21;7416;6
24725;0;21;7424;0;21;7416;6
24779;0;21;7424;0;21;7416;6
24833;0;21;7424;0;21;7416;6
24887;0;21;7424;0;21;7416;6
24941;0;21;7424;0;21;7416;6
24995;0;21;7424;0;21;7416;6
25050;0;21;7424;0;21;7416;6
25103;0;21;7424;0;21;7416;6
25157;0;21;7424;0;21;7416;6
25211;0;21;7424;0;21;7416;6
25266;0;21;7424;0;21;7416;6
25320;0;21;7424;0;21;7416;6
25373;0;21;7424;0;21;7416;6
25431;0;21;7424;0;21;7416;6
25485;0;21;7424;0;21;7416;6
25538;0;21;7424;0;21;7416;6
25592;0;21;7424;0;21;7416;6
25647;0;21;7424;0;21;7416;6
25701;0;21;7424;0;21;7416;6
25755;0;21;7424;0;21;7416;6
25808;0;21;7424;0;21;7416;6
25863;0;21;7424;0;21;7416;6
25917;0;21;7424;0;21;7416;6
25971;0;21;7424;0;21;7416;6
26025;0;21;7424;0;21;7416;6
26079;0;21;7424;0;21;7416;6
26133;0;21;7424;0;21;7416;6
26187;0;21;7424;0;21;7416;6
26242;0;21;7424;0;21;7416;6
26296;0;21;7424;0;21;7416;6
26352;0;21;7424;0;21;7416;6
26406;0;21;7424;0;21;7416;6
26461;0;21;7424;0;21;7416;6
26515;0;21;7424;0;21;7416;6
26568;0;21;7424;0;21;7416;6
26622;0;21;7424;0;21;7416;6
26677;0;21;7424;0;21;7416;6
26731;0;21;7424;0;21;7416;6
26792;0;21;7424;0;21;7416;6
26850;0;21;7424;0;21;7416;6
26904;0;21;7424;0;21;7416;6
26958;0;21;7424;0;21;7416;6
27013;0;21;7424;0;21;7416;6
27066;0;21;7424;0;21;7416;6
27120;0;21;7424;0;21;7416;6
27174;0;21;7424;0;21;7416;6
27229;0;21;7424;0;21;7416;6
27283;0;21;7424;0;21;7416;6
27339;0;21;7424;0;21;7416;6
27394;0;21;7424;0;21;7416;6
27448;0;21;7424;0;21;7416;6
27501;0;21;7424;0;21;7416;6
27555;0;21;7424;0;21;7416;6
27610;0;21;7424;0;21;7416;6
27664;0;21;7424;0;21;7416;6
27718;0;21;7424;0;21;7416;6
27771;0;21;7424;0;21;7416;6
27826;0;21;7424;0;21;7416;6
27880;0;21;7424;0;21;7416;6
27934;0;21;7424;0;21;7416;6
27988;0;21;7424;0;21;7416;6
28043;0;21;7424;0;21;7416;6
28096;0;21;7424;0;21;7416;6
28150;0;21;7424;0;21;7416;6
28205;0;21;7424;0;21;7416;6
28259;0;21;7424;0;21;7416;6
28315;0;21;7424;0;21;7416;6
28369;0;21;7424;0;21;7416;6
28424;0;21;7424;0;21;7416;6
28478;0;21;7424;0;21;7416;6
28531;0;21;7424;0;21;7416;6
